1966/01/07,Grateful Dead,The Matrix,,San Francisco,CA,
I:,It's A Sin,,,,,
,Sick and Tired,,,,,
,Mindbender (Confusion's Prince),,,,,
,On The Road Again,,,,,
,She Belongs To Me,,,,,
,I'll Go Crazy,,,,,
,Can't Come Down,,,,,
,Death Don't Have No Mercy,,,,,
,Parchman Farm,,,,,
,In the Midnight Hour,,,,,
,The Only Time Is Now,,,,,
,Early Morning Rain,,,,,
,It's All Over Now Baby Blue,,,,,
1966/01/08,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,(acid test)
I:,I'm A King Bee,,,,,
,I'm A Hog For You Baby,,,,,
,Caution (Do Not Stop On Tracks),,,,,
,> Death Don't Have No Mercy,,,,,
1966/01/13,Grateful Dead,The Matrix,,San Francisco,CA,
I:,All Of My Love,,,,,
,I'm A Hog For You Baby,,,,,
1966/01/14,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
1966/01/15,Grateful Dead,The Matrix,,San Francisco,CA,
1966/01/16,Grateful Dead,The Matrix,,San Francisco,CA,
1966/01/22,Grateful Dead,Longshoreman's Hall,,San Francisco,CA,(Trips Festival; view the program)
1966/01/23,Grateful Dead,Longshoreman's Hall,,San Francisco,CA,(Trips Festival)
1966/01/28,Grateful Dead,The Matrix,,San Francisco,CA,
1966/01/29,Grateful Dead,The Matrix,,San Francisco,CA,
1966/02/06,Grateful Dead,Northridge Unitarian Church,,Los Angeles,CA,(acid test)
1966/02/12,Grateful Dead,Youth Opportunities Center,,Compton,CA,(acid test)
1966/02/25,Grateful Dead,Cinema Theatre,,Los Angeles,CA,(acid test)
1966/03/03,Grateful Dead,A.I.A.A. Hall,,Los Angeles,CA,
1966/03/12,Grateful Dead,Danish Center,,Los Angeles,CA,(acid test; first Cold Rain & Snow?)
I:,Cream Puff War,,,,,
,Sittin' On Top Of The World,,,,,
,Minglewood Blues,,,,,
,Tastebud,,,,,
,Silver Threads & Golden Needles,,,,,
,It's All Over Now Baby Blue,,,,,
,Good Lovin',,,,,
,You Don't Have to Ask,,,,,
,On The Road Again,,,,,
,Next Time You See Me,,,,,
,I Know You Rider,,,,,
,Hey Little One,,,,,
,Cold Rain & Snow,,,,,
,I'm A King Bee,,,,,
,> Caution (Do Not Stop On Tracks),,,,,
,Stealin',,,,,
1966/03/19,Grateful Dead,Carthay Studios,,Los Angeles,CA,(acid test)
I:,Viola Lee Blues,,,,,
,One Kind Favor,,,,,
,I Know You Rider,,,,,
,Look At Me,,,,,
,It's A Sin,,,,,
,Beat It On Down The Line,,,,,
,Heads Up (Instrumental),,,,,
,Next Time You See Me,,,,,
,Stormy Monday Jam,,,,,
,Death Don't Have No Mercy,,,,,
,In The Midnight Hour,,,,,
1966/03/25,Grateful Dead,Trouper's Club,,Los Angeles,CA,(acid test)
I:,Stealin',,,,,
,Jam,,,,,
,Hey Little One,,,,,
,I'm A Hog For You Baby,,,,,
,You Don't Have To Ask,,,,,
,Cold Rain & Snow,,,,,
,Next Time You See Me,,,,,
1966/04/22,Grateful Dead,Longshoreman's Hall,,San Francisco,CA,(Trips Festival)
1966/04/23,Grateful Dead,Longshoreman's Hall,,San Francisco,CA,(Trips Festival)
1966/04/24,Grateful Dead,Longshoreman's Hall,,San Francisco,CA,(Trips Festival)
1966/05/07,Grateful Dead,Harmon Gym,,Berkeley,CA,
I:,In the Midnight Hour,,,,,
1966/05/14,Grateful Dead,Veterans Memorial Hall,,Berkeley,CA,
1966/05/19,Grateful Dead,Avalon Ballroom,,San Francisco,CA,
I:,Beat It On Down The Line,,,,,
,Standing On The Corner,,,,,
,Mindbender (Confusion's Prince),,,,,
,It Hurts Me Too,,,,,
,Viola Lee Blues,,,,,
,I Know You Rider,,,,,
,I Know It's A Sin,,,,,
,Sick and Tired,,,,,
,Cream Puff War,,,,,
II:,Sittin' On Top Of The World,,,,,
,Minglewood Blues,,,,,
,Cold Rain & Snow,,,,,
,Tastebud,,,,,
,Silver Threads & Golden Needles,,,,,
,It's All Over Now Baby Blue,,,,,
,Good Lovin',,,,,
,You Don't Have To Ask,,,,,
1966/05/22,Grateful Dead,Rancho Olompali,,Novato,CA,
1966/05/27,Grateful Dead,Avalon Ballroom,,San Francisco,CA,
1966/05/28,Grateful Dead,Avalon Ballroom,,San Francisco,CA,
1966/05/29,Grateful Dead,California Hall,,San Francisco,CA,
1966/06/01,Grateful Dead,Scorpio Studios,,San Francisco,CA,
I:,Stealin',,,,,
,I Know You Rider,,,,,
,Don't Ease Me In,,,,,
,You Don't Have To Ask,,,,,
,Tastebud,,,,,
,Cardboard Cowboy,,,,,
,Stealin',,,,,
,I Know You Rider,,,,,
,Cold Rain & Snow,,,,,
1966/06/03,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
1966/06/04,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
1966/06/07,Grateful Dead,Stockton Ballroom,,Stockton,CA,
1966/06/08,Grateful Dead,Stockton Ballroom,,Stockton,CA,
1966/06/09,Grateful Dead,Stockton Ballroom,,Stockton,CA,
1966/06/10,Grateful Dead,Avalon Ballroom,,San Francisco,CA,
1966/06/11,Grateful Dead,Avalon Ballroom,,San Francisco,CA,
1966/06/17,Grateful Dead,Veterans Memorial Hall,,San Jose,CA,
1966/06/18,Grateful Dead,Veterans Memorial Hall,,San Jose,CA,
1966/07/03,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,(released as part of 30 Trips Around The Sun)
I:,Nobody's Fault But Mine,,,,,
,Dancin' In The Streets,,,,,
,I Know You Rider,,,,,
,He Was A Friend of Mine,,,,,
,Next Time You See Me,,,,,
,Viola Lee Blues,,,,,
,Big Boss Man,,,,,
,Sittin' On Top Of The World,,,,,
,Keep Rolling By,,,,,
,Minglewood Blues,,,,,
,Cold Rain & Snow,,,,,
,Tastebud,,,,,
,Beat It On Down The Line,,,,,
,Cream Puff War,,,,,
,Don't Mess Up A Good Thing,,,,,
,Cardboard Cowboy,,,,,
,Gangster of Love,,,,,
,You Don't Have To Ask,,,,,
,In The Midnight Hour,,,,,
1966/07/08,Grateful Dead,Santa Venetia Armory,,San Rafael,CA,
1966/07/09,Grateful Dead,Santa Venetia Armory,,San Rafael,CA,
1966/07/14,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
1966/07/15,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
1966/07/16,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
I:,I Know You Rider,,,,,
,Big Boss Man,,,,,
,Standing On The Corner,,,,,
,Beat It On Down The Line,,,,,
,In The Pines,,,,,
,Cardboard Cowboy,,,,,
,Nobody's Fault But Mine,,,,,
,Next Time You See Me,,,,,
,He Was A Friend Of Mine,,,,,
,Cream Puff War,,,,,
,Viola Lee Blues,,,,,
,Don't Ease Me In,,,,,
,> Pain In My Heart,,,,,
,Minglewood Blues,,,,,
,> Sittin' On Top Of The World,,,,,
,You Don't Have To Ask,,,,,
,Cold Rain & Snow,,,,,
,> Good Morning Little Schoolgirl,,,,,
,> It's All Over Now Baby Blue,,,,,
,Dancin' In The Streets,,,,,
1966/07/17,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
I:,Big Boss Man,,,,,
,Standing On The Corner,,,,,
,> Beat It On Down The Line,,,,,
